raw_text,truncated_prompt,category_id,category_name,subcategory_id,subcategory_name
How do I process a refund for a customer whose card ends in 7373? Thanks in advance.,How do I process a refund for a customer whose card ends in 7373? Thanks in advance.,4,Cyber Security & Identity,128,Amex Card Risk
Where can I find the compliance guidelines for cross-border payments? ASAP.,Where can I find the compliance guidelines for cross-border payments? ASAP.,11,American Express & Payments,54,American Express Amex
What is the current exchange rate for USD to CNY for international settlements? Pls.,What is the current exchange rate for USD to CNY for international settlements? Pls.,1,Production Support & Debugging,74,Error Code Exception
Where can I find the compliance guidelines for cross-border payments? Pls.,Where can I find the compliance guidelines for cross-border payments? Pls.,11,American Express & Payments,54,American Express Amex
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Please advise.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Please advise.,1,Production Support & Debugging,74,Error Code Exception
I need to file a dispute for a charge of $4731.74 on my corporate account. Please advise.,I need to file a dispute for a charge of $4731.74 on my corporate account. Please advise.,4,Cyber Security & Identity,128,Amex Card Risk
I need to file a dispute for a charge of $4350.31 on my corporate account. Please advise.,I need to file a dispute for a charge of $4350.31 on my corporate account. Please advise.,4,Cyber Security & Identity,128,Amex Card Risk
"Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. ASAP.","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. ASAP.",11,American Express & Payments,54,American Express Amex
Can you help me pull the latest transaction report for merchant Delta? Pls.,Can you help me pull the latest transaction report for merchant Delta? Pls.,11,American Express & Payments,54,American Express Amex
I need to file a dispute for a charge of $65.33 on my corporate account. Thanks.,I need to file a dispute for a charge of $65.33 on my corporate account. Thanks.,4,Cyber Security & Identity,128,Amex Card Risk
"Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Please advise.","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Please advise.",11,American Express & Payments,54,American Express Amex
"Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Please advise.","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Please advise.",11,American Express & Payments,54,American Express Amex
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Please advise.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Please advise.,1,Production Support & Debugging,74,Error Code Exception
"Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Help.","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Help.",11,American Express & Payments,54,American Express Amex
"Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Thanks in advance.","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Thanks in advance.",11,American Express & Payments,54,American Express Amex
Can you help me pull the latest transaction report for merchant Apple? ASAP.,Can you help me pull the latest transaction report for merchant Apple? ASAP.,11,American Express & Payments,54,American Express Amex
Can you help me pull the latest transaction report for merchant Uber? Please advise.,Can you help me pull the latest transaction report for merchant Uber? Please advise.,11,American Express & Payments,54,American Express Amex
Please explain the new American Express platinum benefits for Q3. Urgent.,Please explain the new American Express platinum benefits for Q3. Urgent.,11,American Express & Payments,54,American Express Amex
What are the limits for Centurion lounge access this year? Thanks in advance.,What are the limits for Centurion lounge access this year? Thanks in advance.,1,Production Support & Debugging,74,Error Code Exception
Please explain the new American Express platinum benefits for Q3. Thanks.,Please explain the new American Express platinum benefits for Q3. Thanks.,11,American Express & Payments,54,American Express Amex
How do I reset the password for my Amex corporate card? Help.,How do I reset the password for my Amex corporate card? Help.,4,Cyber Security & Identity,128,Amex Card Risk
How do I reset the password for my Amex corporate card? Pls.,How do I reset the password for my Amex corporate card? Pls.,4,Cyber Security & Identity,128,Amex Card Risk
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Help.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Help.,1,Production Support & Debugging,74,Error Code Exception
What is the current exchange rate for USD to AUD for international settlements? ASAP.,What is the current exchange rate for USD to AUD for international settlements? ASAP.,1,Production Support & Debugging,74,Error Code Exception
Where can I find the compliance guidelines for cross-border payments? Thanks in advance.,Where can I find the compliance guidelines for cross-border payments? Thanks in advance.,11,American Express & Payments,54,American Express Amex
How do I reset the password for my Amex corporate card? Help.,How do I reset the password for my Amex corporate card? Help.,4,Cyber Security & Identity,128,Amex Card Risk
Is the API endpoint for real-time authorizations down today?,Is the API endpoint for real-time authorizations down today?,0,Software Engineering & Development,3,Api Rest Graphql
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Please advise.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Please advise.,1,Production Support & Debugging,74,Error Code Exception
Is the API endpoint for real-time authorizations down today? Thanks.,Is the API endpoint for real-time authorizations down today? Thanks.,0,Software Engineering & Development,3,Api Rest Graphql
I need to file a dispute for a charge of $872.06 on my corporate account. Help.,I need to file a dispute for a charge of $872.06 on my corporate account. Help.,4,Cyber Security & Identity,128,Amex Card Risk
What is the current exchange rate for USD to BRL for international settlements? Help.,What is the current exchange rate for USD to BRL for international settlements? Help.,1,Production Support & Debugging,74,Error Code Exception
Necesito presentar una disputa por un cargo de $4111.66 en mi cuenta corporativa. Thanks in advance.,Necesito presentar una disputa por un cargo de $4111.66 en mi cuenta corporativa. Thanks in advance.,4,Cyber Security & Identity,128,Amex Card Risk
What is the current exchange rate for USD to EUR for international settlements? Help.,What is the current exchange rate for USD to EUR for international settlements? Help.,1,Production Support & Debugging,74,Error Code Exception
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent.,1,Production Support & Debugging,74,Error Code Exception
What is the current exchange rate for USD to CAD for international settlements? Urgent.,What is the current exchange rate for USD to CAD for international settlements? Urgent.,1,Production Support & Debugging,74,Error Code Exception
Where can I find the compliance guidelines for cross-border payments? Thanks in advance.,Where can I find the compliance guidelines for cross-border payments? Thanks in advance.,11,American Express & Payments,54,American Express Amex
Please explain the new American Express platinum benefits for Q3. Thanks.,Please explain the new American Express platinum benefits for Q3. Thanks.,11,American Express & Payments,54,American Express Amex
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent.,1,Production Support & Debugging,74,Error Code Exception
I need to file a dispute for a charge of $441.88 on my corporate account. Thanks in advance.,I need to file a dispute for a charge of $441.88 on my corporate account. Thanks in advance.,4,Cyber Security & Identity,128,Amex Card Risk
I need to file a dispute for a charge of $1466.79 on my corporate account.,I need to file a dispute for a charge of $1466.79 on my corporate account.,4,Cyber Security & Identity,128,Amex Card Risk
How do I process a refund for a customer whose card ends in 8776? Thanks.,How do I process a refund for a customer whose card ends in 8776? Thanks.,4,Cyber Security & Identity,128,Amex Card Risk
How do I process a refund for a customer whose card ends in 8680? Urgent.,How do I process a refund for a customer whose card ends in 8680? Urgent.,4,Cyber Security & Identity,128,Amex Card Risk
How do I process a refund for a customer whose card ends in 2385? Help.,How do I process a refund for a customer whose card ends in 2385? Help.,4,Cyber Security & Identity,128,Amex Card Risk
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Help.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Help.,1,Production Support & Debugging,74,Error Code Exception
What is the current exchange rate for USD to CAD for international settlements? Please advise.,What is the current exchange rate for USD to CAD for international settlements? Please advise.,1,Production Support & Debugging,74,Error Code Exception
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Thanks in advance.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Thanks in advance.,1,Production Support & Debugging,74,Error Code Exception
Is the API endpoint for real-time authorizations down today? Urgent.,Is the API endpoint for real-time authorizations down today? Urgent.,0,Software Engineering & Development,3,Api Rest Graphql
What is the current exchange rate for USD to BRL for international settlements? Thanks in advance.,What is the current exchange rate for USD to BRL for international settlements? Thanks in advance.,1,Production Support & Debugging,74,Error Code Exception
What are the limits for Centurion lounge access this year? Please advise.,What are the limits for Centurion lounge access this year? Please advise.,1,Production Support & Debugging,74,Error Code Exception
Please explain the new American Express platinum benefits for Q3. Thanks.,Please explain the new American Express platinum benefits for Q3. Thanks.,11,American Express & Payments,54,American Express Amex
"Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Pls.","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Pls.",11,American Express & Payments,54,American Express Amex
Is the API endpoint for real-time authorizations down today? ASAP.,Is the API endpoint for real-time authorizations down today? ASAP.,0,Software Engineering & Development,3,Api Rest Graphql
Can you help me pull the latest transaction report for merchant Apple? Urgent.,Can you help me pull the latest transaction report for merchant Apple? Urgent.,11,American Express & Payments,54,American Express Amex
Can you help me pull the latest transaction report for merchant Microsoft? Pls.,Can you help me pull the latest transaction report for merchant Microsoft? Pls.,11,American Express & Payments,54,American Express Amex
"Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre.","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre.",11,American Express & Payments,54,American Express Amex
What is the current exchange rate for USD to CAD for international settlements? Thanks in advance.,What is the current exchange rate for USD to CAD for international settlements? Thanks in advance.,1,Production Support & Debugging,74,Error Code Exception
Please explain the new American Express platinum benefits for Q3. ASAP.,Please explain the new American Express platinum benefits for Q3. ASAP.,11,American Express & Payments,54,American Express Amex
Necesito presentar una disputa por un cargo de $717.24 en mi cuenta corporativa. Thanks.,Necesito presentar una disputa por un cargo de $717.24 en mi cuenta corporativa. Thanks.,4,Cyber Security & Identity,128,Amex Card Risk
What is the current exchange rate for USD to CNY for international settlements? Thanks in advance.,What is the current exchange rate for USD to CNY for international settlements? Thanks in advance.,1,Production Support & Debugging,74,Error Code Exception
Where can I find the compliance guidelines for cross-border payments? Pls.,Where can I find the compliance guidelines for cross-border payments? Pls.,11,American Express & Payments,54,American Express Amex
How do I process a refund for a customer whose card ends in 5416? Help.,How do I process a refund for a customer whose card ends in 5416? Help.,4,Cyber Security & Identity,128,Amex Card Risk
How do I reset the password for my Amex corporate card? Pls.,How do I reset the password for my Amex corporate card? Pls.,4,Cyber Security & Identity,128,Amex Card Risk
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Pls.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Pls.,1,Production Support & Debugging,74,Error Code Exception
How do I reset the password for my Amex corporate card? Thanks.,How do I reset the password for my Amex corporate card? Thanks.,4,Cyber Security & Identity,128,Amex Card Risk
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent.,1,Production Support & Debugging,74,Error Code Exception
How do I process a refund for a customer whose card ends in 7334? Help.,How do I process a refund for a customer whose card ends in 7334? Help.,4,Cyber Security & Identity,128,Amex Card Risk
How do I process a refund for a customer whose card ends in 4448? Thanks.,How do I process a refund for a customer whose card ends in 4448? Thanks.,4,Cyber Security & Identity,128,Amex Card Risk
What is the current exchange rate for USD to INR for international settlements? Urgent.,What is the current exchange rate for USD to INR for international settlements? Urgent.,1,Production Support & Debugging,74,Error Code Exception
Where can I find the compliance guidelines for cross-border payments? Pls.,Where can I find the compliance guidelines for cross-border payments? Pls.,11,American Express & Payments,54,American Express Amex
"Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Please advise.","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Please advise.",11,American Express & Payments,54,American Express Amex
What is the current exchange rate for USD to INR for international settlements? Help.,What is the current exchange rate for USD to INR for international settlements? Help.,1,Production Support & Debugging,74,Error Code Exception
Necesito presentar una disputa por un cargo de $907.32 en mi cuenta corporativa. Help.,Necesito presentar una disputa por un cargo de $907.32 en mi cuenta corporativa. Help.,4,Cyber Security & Identity,128,Amex Card Risk
How do I reset the password for my Amex corporate card? Urgent.,How do I reset the password for my Amex corporate card? Urgent.,4,Cyber Security & Identity,128,Amex Card Risk
Can you help me pull the latest transaction report for merchant Marriott? Please advise.,Can you help me pull the latest transaction report for merchant Marriott? Please advise.,11,American Express & Payments,54,American Express Amex
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Help.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Help.,1,Production Support & Debugging,74,Error Code Exception
Can you help me pull the latest transaction report for merchant Uber? Help.,Can you help me pull the latest transaction report for merchant Uber? Help.,11,American Express & Payments,54,American Express Amex
Where can I find the compliance guidelines for cross-border payments? Thanks in advance.,Where can I find the compliance guidelines for cross-border payments? Thanks in advance.,11,American Express & Payments,54,American Express Amex
"Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Pls.","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Pls.",11,American Express & Payments,54,American Express Amex
How do I reset the password for my Amex corporate card? Help.,How do I reset the password for my Amex corporate card? Help.,4,Cyber Security & Identity,128,Amex Card Risk
Is the API endpoint for real-time authorizations down today? Help.,Is the API endpoint for real-time authorizations down today? Help.,0,Software Engineering & Development,3,Api Rest Graphql
How do I reset the password for my Amex corporate card? ASAP.,How do I reset the password for my Amex corporate card? ASAP.,4,Cyber Security & Identity,128,Amex Card Risk
How do I reset the password for my Amex corporate card? Pls.,How do I reset the password for my Amex corporate card? Pls.,4,Cyber Security & Identity,128,Amex Card Risk
Please explain the new American Express platinum benefits for Q3. ASAP.,Please explain the new American Express platinum benefits for Q3. ASAP.,11,American Express & Payments,54,American Express Amex
"Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Help.","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Help.",11,American Express & Payments,54,American Express Amex
Please explain the new American Express platinum benefits for Q3. Thanks in advance.,Please explain the new American Express platinum benefits for Q3. Thanks in advance.,11,American Express & Payments,54,American Express Amex
What is the current exchange rate for USD to GBP for international settlements? Urgent.,What is the current exchange rate for USD to GBP for international settlements? Urgent.,1,Production Support & Debugging,74,Error Code Exception
How do I process a refund for a customer whose card ends in 9305? Help.,How do I process a refund for a customer whose card ends in 9305? Help.,4,Cyber Security & Identity,128,Amex Card Risk
How do I process a refund for a customer whose card ends in 4568? Pls.,How do I process a refund for a customer whose card ends in 4568? Pls.,4,Cyber Security & Identity,128,Amex Card Risk
Where can I find the compliance guidelines for cross-border payments? ASAP.,Where can I find the compliance guidelines for cross-border payments? ASAP.,11,American Express & Payments,54,American Express Amex
I need to file a dispute for a charge of $1471.14 on my corporate account. Help.,I need to file a dispute for a charge of $1471.14 on my corporate account. Help.,4,Cyber Security & Identity,128,Amex Card Risk
How do I reset the password for my Amex corporate card? Urgent.,How do I reset the password for my Amex corporate card? Urgent.,4,Cyber Security & Identity,128,Amex Card Risk
How do I process a refund for a customer whose card ends in 9360? Urgent.,How do I process a refund for a customer whose card ends in 9360? Urgent.,4,Cyber Security & Identity,128,Amex Card Risk
What is the current exchange rate for USD to BRL for international settlements?,What is the current exchange rate for USD to BRL for international settlements?,11,American Express & Payments,54,American Express Amex
What is the current exchange rate for USD to BRL for international settlements?,What is the current exchange rate for USD to BRL for international settlements?,11,American Express & Payments,54,American Express Amex
Please explain the new American Express platinum benefits for Q3. Pls.,Please explain the new American Express platinum benefits for Q3. Pls.,11,American Express & Payments,54,American Express Amex
Is the API endpoint for real-time authorizations down today? Please advise.,Is the API endpoint for real-time authorizations down today? Please advise.,0,Software Engineering & Development,3,Api Rest Graphql
Is the API endpoint for real-time authorizations down today? Help.,Is the API endpoint for real-time authorizations down today? Help.,0,Software Engineering & Development,3,Api Rest Graphql
Is the API endpoint for real-time authorizations down today? Help.,Is the API endpoint for real-time authorizations down today? Help.,0,Software Engineering & Development,3,Api Rest Graphql
Necesito presentar una disputa por un cargo de $3510.47 en mi cuenta corporativa.,Necesito presentar una disputa por un cargo de $3510.47 en mi cuenta corporativa.,4,Cyber Security & Identity,128,Amex Card Risk
Where can I find the compliance guidelines for cross-border payments? Help.,Where can I find the compliance guidelines for cross-border payments? Help.,11,American Express & Payments,54,American Express Amex
Please explain the new American Express platinum benefits for Q3. Pls.,Please explain the new American Express platinum benefits for Q3. Pls.,11,American Express & Payments,54,American Express Amex
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent.,1,Production Support & Debugging,74,Error Code Exception
Please explain the new American Express platinum benefits for Q3. Please advise.,Please explain the new American Express platinum benefits for Q3. Please advise.,11,American Express & Payments,54,American Express Amex
Can you help me pull the latest transaction report for merchant Amazon? Please advise.,Can you help me pull the latest transaction report for merchant Amazon? Please advise.,11,American Express & Payments,54,American Express Amex
What is the current exchange rate for USD to BRL for international settlements? Help.,What is the current exchange rate for USD to BRL for international settlements? Help.,1,Production Support & Debugging,74,Error Code Exception
"Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Thanks.","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Thanks.",11,American Express & Payments,54,American Express Amex
Necesito presentar una disputa por un cargo de $1792.98 en mi cuenta corporativa. Thanks in advance.,Necesito presentar una disputa por un cargo de $1792.98 en mi cuenta corporativa. Thanks in advance.,4,Cyber Security & Identity,128,Amex Card Risk
Where can I find the compliance guidelines for cross-border payments? Urgent.,Where can I find the compliance guidelines for cross-border payments? Urgent.,11,American Express & Payments,54,American Express Amex
Please explain the new American Express platinum benefits for Q3. Urgent.,Please explain the new American Express platinum benefits for Q3. Urgent.,11,American Express & Payments,54,American Express Amex
Please explain the new American Express platinum benefits for Q3. Pls.,Please explain the new American Express platinum benefits for Q3. Pls.,11,American Express & Payments,54,American Express Amex
Please explain the new American Express platinum benefits for Q3.,Please explain the new American Express platinum benefits for Q3.,11,American Express & Payments,54,American Express Amex
What are the limits for Centurion lounge access this year? Pls.,What are the limits for Centurion lounge access this year? Pls.,1,Production Support & Debugging,74,Error Code Exception
Where can I find the compliance guidelines for cross-border payments? Please advise.,Where can I find the compliance guidelines for cross-border payments? Please advise.,11,American Express & Payments,54,American Express Amex
What is the current exchange rate for USD to JPY for international settlements? ASAP.,What is the current exchange rate for USD to JPY for international settlements? ASAP.,1,Production Support & Debugging,74,Error Code Exception
Please explain the new American Express platinum benefits for Q3. Help.,Please explain the new American Express platinum benefits for Q3. Help.,11,American Express & Payments,54,American Express Amex
What are the limits for Centurion lounge access this year? Pls.,What are the limits for Centurion lounge access this year? Pls.,1,Production Support & Debugging,74,Error Code Exception
I need to file a dispute for a charge of $3410.63 on my corporate account. Please advise.,I need to file a dispute for a charge of $3410.63 on my corporate account. Please advise.,4,Cyber Security & Identity,128,Amex Card Risk
I am getting an error code 403 when trying to access the internal Amex risk dashboard.,I am getting an error code 403 when trying to access the internal Amex risk dashboard.,1,Production Support & Debugging,74,Error Code Exception
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Please advise.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Please advise.,1,Production Support & Debugging,74,Error Code Exception
What is the current exchange rate for USD to JPY for international settlements? ASAP.,What is the current exchange rate for USD to JPY for international settlements? ASAP.,1,Production Support & Debugging,74,Error Code Exception
Is the API endpoint for real-time authorizations down today? Thanks.,Is the API endpoint for real-time authorizations down today? Thanks.,0,Software Engineering & Development,3,Api Rest Graphql
Is the API endpoint for real-time authorizations down today? Pls.,Is the API endpoint for real-time authorizations down today? Pls.,0,Software Engineering & Development,3,Api Rest Graphql
Please explain the new American Express platinum benefits for Q3. Urgent.,Please explain the new American Express platinum benefits for Q3. Urgent.,11,American Express & Payments,54,American Express Amex
Is the API endpoint for real-time authorizations down today? Please advise.,Is the API endpoint for real-time authorizations down today? Please advise.,0,Software Engineering & Development,3,Api Rest Graphql
Is the API endpoint for real-time authorizations down today? Urgent.,Is the API endpoint for real-time authorizations down today? Urgent.,0,Software Engineering & Development,3,Api Rest Graphql
Is the API endpoint for real-time authorizations down today? Urgent.,Is the API endpoint for real-time authorizations down today? Urgent.,0,Software Engineering & Development,3,Api Rest Graphql
Is the API endpoint for real-time authorizations down today? Thanks.,Is the API endpoint for real-time authorizations down today? Thanks.,0,Software Engineering & Development,3,Api Rest Graphql
What is the current exchange rate for USD to EUR for international settlements? Urgent.,What is the current exchange rate for USD to EUR for international settlements? Urgent.,1,Production Support & Debugging,74,Error Code Exception
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent.,1,Production Support & Debugging,74,Error Code Exception
Necesito presentar una disputa por un cargo de $1165.52 en mi cuenta corporativa. ASAP.,Necesito presentar una disputa por un cargo de $1165.52 en mi cuenta corporativa. ASAP.,4,Cyber Security & Identity,128,Amex Card Risk
Please explain the new American Express platinum benefits for Q3. ASAP.,Please explain the new American Express platinum benefits for Q3. ASAP.,11,American Express & Payments,54,American Express Amex
Necesito presentar una disputa por un cargo de $2361.97 en mi cuenta corporativa. Please advise.,Necesito presentar una disputa por un cargo de $2361.97 en mi cuenta corporativa. Please advise.,4,Cyber Security & Identity,128,Amex Card Risk
Please explain the new American Express platinum benefits for Q3. Thanks.,Please explain the new American Express platinum benefits for Q3. Thanks.,11,American Express & Payments,54,American Express Amex
Is the API endpoint for real-time authorizations down today?,Is the API endpoint for real-time authorizations down today?,0,Software Engineering & Development,3,Api Rest Graphql
Please explain the new American Express platinum benefits for Q3. Help.,Please explain the new American Express platinum benefits for Q3. Help.,11,American Express & Payments,54,American Express Amex
I need to file a dispute for a charge of $4634.98 on my corporate account. Urgent.,I need to file a dispute for a charge of $4634.98 on my corporate account. Urgent.,4,Cyber Security & Identity,128,Amex Card Risk
Can you help me pull the latest transaction report for merchant Uber? Help.,Can you help me pull the latest transaction report for merchant Uber? Help.,11,American Express & Payments,54,American Express Amex
What is the current exchange rate for USD to MXN for international settlements? Thanks in advance.,What is the current exchange rate for USD to MXN for international settlements? Thanks in advance.,1,Production Support & Debugging,74,Error Code Exception
"Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Pls.","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Pls.",11,American Express & Payments,54,American Express Amex
I am getting an error code 403 when trying to access the internal Amex risk dashboard.,I am getting an error code 403 when trying to access the internal Amex risk dashboard.,1,Production Support & Debugging,74,Error Code Exception
How do I reset the password for my Amex corporate card? Urgent.,How do I reset the password for my Amex corporate card? Urgent.,4,Cyber Security & Identity,128,Amex Card Risk
Is the API endpoint for real-time authorizations down today? Thanks.,Is the API endpoint for real-time authorizations down today? Thanks.,0,Software Engineering & Development,3,Api Rest Graphql
What are the limits for Centurion lounge access this year? Help.,What are the limits for Centurion lounge access this year? Help.,1,Production Support & Debugging,74,Error Code Exception
What are the limits for Centurion lounge access this year? Urgent.,What are the limits for Centurion lounge access this year? Urgent.,1,Production Support & Debugging,74,Error Code Exception
Please explain the new American Express platinum benefits for Q3. Please advise.,Please explain the new American Express platinum benefits for Q3. Please advise.,11,American Express & Payments,54,American Express Amex
"Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Thanks.","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Thanks.",11,American Express & Payments,54,American Express Amex
Where can I find the compliance guidelines for cross-border payments? Urgent.,Where can I find the compliance guidelines for cross-border payments? Urgent.,11,American Express & Payments,54,American Express Amex
How do I reset the password for my Amex corporate card? Please advise.,How do I reset the password for my Amex corporate card? Please advise.,4,Cyber Security & Identity,128,Amex Card Risk
What are the limits for Centurion lounge access this year? Thanks in advance.,What are the limits for Centurion lounge access this year? Thanks in advance.,1,Production Support & Debugging,74,Error Code Exception
Necesito presentar una disputa por un cargo de $529.75 en mi cuenta corporativa. ASAP.,Necesito presentar una disputa por un cargo de $529.75 en mi cuenta corporativa. ASAP.,4,Cyber Security & Identity,128,Amex Card Risk
Where can I find the compliance guidelines for cross-border payments? Urgent.,Where can I find the compliance guidelines for cross-border payments? Urgent.,11,American Express & Payments,54,American Express Amex
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Help.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Help.,1,Production Support & Debugging,74,Error Code Exception
I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent.,I am getting an error code 403 when trying to access the internal Amex risk dashboard. Urgent.,1,Production Support & Debugging,74,Error Code Exception
Necesito presentar una disputa por un cargo de $1169.20 en mi cuenta corporativa. Pls.,Necesito presentar una disputa por un cargo de $1169.20 en mi cuenta corporativa. Pls.,4,Cyber Security & Identity,128,Amex Card Risk
Please explain the new American Express platinum benefits for Q3. Thanks in advance.,Please explain the new American Express platinum benefits for Q3. Thanks in advance.,11,American Express & Payments,54,American Express Amex
Necesito presentar una disputa por un cargo de $2409.71 en mi cuenta corporativa. Urgent.,Necesito presentar una disputa por un cargo de $2409.71 en mi cuenta corporativa. Urgent.,4,Cyber Security & Identity,128,Amex Card Risk
I need to file a dispute for a charge of $1772.09 on my corporate account. Please advise.,I need to file a dispute for a charge of $1772.09 on my corporate account. Please advise.,4,Cyber Security & Identity,128,Amex Card Risk
What are the limits for Centurion lounge access this year? Pls.,What are the limits for Centurion lounge access this year? Pls.,1,Production Support & Debugging,74,Error Code Exception
Is the API endpoint for real-time authorizations down today? ASAP.,Is the API endpoint for real-time authorizations down today? ASAP.,0,Software Engineering & Development,3,Api Rest Graphql
Is the API endpoint for real-time authorizations down today?,Is the API endpoint for real-time authorizations down today?,0,Software Engineering & Development,3,Api Rest Graphql
What is the current exchange rate for USD to GBP for international settlements? Please advise.,What is the current exchange rate for USD to GBP for international settlements? Please advise.,1,Production Support & Debugging,74,Error Code Exception
How do I process a refund for a customer whose card ends in 2111? Urgent.,How do I process a refund for a customer whose card ends in 2111? Urgent.,4,Cyber Security & Identity,128,Amex Card Risk
I need to file a dispute for a charge of $4481.61 on my corporate account. Please advise.,I need to file a dispute for a charge of $4481.61 on my corporate account. Please advise.,4,Cyber Security & Identity,128,Amex Card Risk
