cluster_id,size,top_10_keywords,sample_fragment
27,470,"today, authorizations, time, api, endpoint, real, advise, 3006, 3007, 3008",Is the API endpoint for real-time authorizations down today? Please advise....
28,450,"son, acceso, año, vip, límites, este, sala, cuáles, los, centurion",¿Cuáles son los límites para el acceso a la sala VIP Centurion este año? Urgent....
29,459,"getting, trying, code, dashboard, risk, internal, access, error, 403, amex",I am getting an error code 403 when trying to access the internal Amex risk dashboard. ASAP....
30,466,"caído, está, tiempo, hoy, autorizaciones, api, real, endpoint, la, en",¿Está caído hoy el endpoint de la API para autorizaciones en tiempo real? Help....
31,53,"eur, advise, liquidaciones, cuál, cambio, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a EUR para liquidaciones internacionales? Please advise....
32,47,"jpy, advance, es, cuál, actual, tipo, internacionales, liquidaciones, cambio, thanks",¿Cuál es el tipo de cambio actual de USD a JPY para liquidaciones internacionales? Thanks in advance....
33,54,"gbp, cuál, es, internacionales, tipo, actual, cambio, liquidaciones, urgent, usd",¿Cuál es el tipo de cambio actual de USD a GBP para liquidaciones internacionales? Urgent....
34,39,"sgd, liquidaciones, es, asap, actual, tipo, internacionales, cuál, cambio, usd",¿Cuál es el tipo de cambio actual de USD a SGD para liquidaciones internacionales? ASAP....
35,51,"mxn, internacionales, es, liquidaciones, actual, tipo, cuál, cambio, help, usd",¿Cuál es el tipo de cambio actual de USD a MXN para liquidaciones internacionales? Help....
36,475,"pautas, puedo, pagos, las, transfronterizos, cumplimiento, encontrar, dónde, thanks, para",¿Dónde puedo encontrar las pautas de cumplimiento para pagos transfronterizos? Thanks....
37,463,"encontrar, pautas, puedo, pagos, dónde, transfronterizos, las, cumplimiento, para, último",¿Dónde puedo encontrar las pautas de cumplimiento para pagos transfronterizos?...
38,458,"guidelines, compliance, payments, cross, border, urgent, 3013, 3008, 3009, 301",Where can I find the compliance guidelines for cross-border payments? Urgent....
39,473,"al, riesgo, interno, panel, acceder, obtengo, código, intentar, error, 403",Obtengo un código de error 403 al intentar acceder al panel de riesgo interno de Amex. Please advise....
40,466,"authorizations, time, today, endpoint, real, api, advance, thanks, último, 3006",Is the API endpoint for real-time authorizations down today? Thanks in advance....
41,418,"son, año, sala, vip, límites, cuáles, este, acceso, centurion, los",¿Cuáles son los límites para el acceso a la sala VIP Centurion este año? ASAP....
42,506,"getting, trying, risk, internal, dashboard, code, error, access, 403, amex",I am getting an error code 403 when trying to access the internal Amex risk dashboard. Help....
43,493,"caído, autorizaciones, está, tiempo, hoy, endpoint, real, api, la, pls",¿Está caído hoy el endpoint de la API para autorizaciones en tiempo real? Pls....
44,54,"brl, advise, actual, cuál, liquidaciones, cambio, es, tipo, internacionales, usd",¿Cuál es el tipo de cambio actual de USD a BRL para liquidaciones internacionales? Please advise....
45,52,"eur, advance, es, cuál, actual, tipo, internacionales, liquidaciones, cambio, thanks",¿Cuál es el tipo de cambio actual de USD a EUR para liquidaciones internacionales? Thanks in advance....
46,49,"jpy, cuál, liquidaciones, internacionales, cambio, es, tipo, actual, urgent, usd",¿Cuál es el tipo de cambio actual de USD a JPY para liquidaciones internacionales? Urgent....
47,49,"gbp, cuál, asap, liquidaciones, cambio, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a GBP para liquidaciones internacionales? ASAP....
48,44,"sgd, internacionales, es, liquidaciones, actual, tipo, cuál, cambio, help, usd",¿Cuál es el tipo de cambio actual de USD a SGD para liquidaciones internacionales? Help....
49,49,"mxn, pls, internacionales, cambio, tipo, cuál, actual, es, liquidaciones, usd",¿Cuál es el tipo de cambio actual de USD a MXN para liquidaciones internacionales? Pls....
50,454,"guidelines, border, payments, cross, compliance, asap, 3009, 301, 3010, 3011",Where can I find the compliance guidelines for cross-border payments? ASAP....
51,468,"explique, tercer, favor, nuevos, beneficios, trimestre, express, platinum, los, american","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Please advise...."
52,476,"al, riesgo, panel, interno, obtengo, acceder, código, intentar, error, 403",Obtengo un código de error 403 al intentar acceder al panel de riesgo interno de Amex. Thanks in advance....
53,477,"authorizations, time, today, endpoint, real, api, urgent, último, 3010, 3006",Is the API endpoint for real-time authorizations down today? Urgent....
54,499,"son, año, sala, vip, límites, este, cuáles, acceso, centurion, los",¿Cuáles son los límites para el acceso a la sala VIP Centurion este año? Help....
55,472,"getting, code, risk, dashboard, trying, internal, error, access, 403, amex",I am getting an error code 403 when trying to access the internal Amex risk dashboard. Pls....
56,461,"caído, hoy, autorizaciones, tiempo, está, real, endpoint, api, la, en",¿Está caído hoy el endpoint de la API para autorizaciones en tiempo real? Thanks....
57,431,"caído, está, hoy, autorizaciones, tiempo, real, endpoint, api, la, en",¿Está caído hoy el endpoint de la API para autorizaciones en tiempo real?...
58,51,"aud, cuál, liquidaciones, cambio, advise, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a AUD para liquidaciones internacionales? Please advise....
59,61,"brl, advance, es, cuál, actual, tipo, internacionales, liquidaciones, cambio, thanks",¿Cuál es el tipo de cambio actual de USD a BRL para liquidaciones internacionales? Thanks in advance....
60,50,"eur, internacionales, cambio, liquidaciones, actual, tipo, es, cuál, urgent, usd",¿Cuál es el tipo de cambio actual de USD a EUR para liquidaciones internacionales? Urgent....
61,49,"jpy, cuál, asap, liquidaciones, cambio, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a JPY para liquidaciones internacionales? ASAP....
62,52,"gbp, internacionales, es, cuál, tipo, actual, liquidaciones, cambio, help, usd",¿Cuál es el tipo de cambio actual de USD a GBP para liquidaciones internacionales? Help....
63,48,"sgd, pls, internacionales, es, liquidaciones, actual, tipo, cuál, cambio, usd",¿Cuál es el tipo de cambio actual de USD a SGD para liquidaciones internacionales? Pls....
64,40,"mxn, internacionales, es, liquidaciones, actual, tipo, cuál, cambio, thanks, usd",¿Cuál es el tipo de cambio actual de USD a MXN para liquidaciones internacionales? Thanks....
65,55,"mxn, cuál, liquidaciones, cambio, es, actual, internacionales, tipo, usd, el",¿Cuál es el tipo de cambio actual de USD a MXN para liquidaciones internacionales?...
66,472,"guidelines, border, payments, cross, compliance, help, 299, 3013, 3009, 301",Where can I find the compliance guidelines for cross-border payments? Help....
67,465,"beneficios, trimestre, explique, tercer, favor, nuevos, american, platinum, los, express","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Thanks in advance...."
68,514,"al, intentar, riesgo, interno, panel, acceder, código, obtengo, error, 403",Obtengo un código de error 403 al intentar acceder al panel de riesgo interno de Amex. Urgent....
69,469,"today, authorizations, time, api, endpoint, real, asap, 3006, 3007, 3008",Is the API endpoint for real-time authorizations down today? ASAP....
70,466,"son, acceso, año, vip, límites, este, sala, cuáles, los, centurion",¿Cuáles son los límites para el acceso a la sala VIP Centurion este año? Pls....
71,412,"getting, dashboard, code, risk, internal, trying, error, access, 403, amex",I am getting an error code 403 when trying to access the internal Amex risk dashboard. Thanks....
72,476,"getting, code, risk, trying, internal, dashboard, error, access, 403, amex",I am getting an error code 403 when trying to access the internal Amex risk dashboard....
73,42,"cny, es, cambio, cuál, liquidaciones, actual, tipo, internacionales, advise, usd",¿Cuál es el tipo de cambio actual de USD a CNY para liquidaciones internacionales? Please advise....
74,38,"aud, advance, es, cuál, actual, tipo, internacionales, liquidaciones, cambio, thanks",¿Cuál es el tipo de cambio actual de USD a AUD para liquidaciones internacionales? Thanks in advance....
75,41,"brl, internacionales, cambio, liquidaciones, actual, tipo, es, cuál, urgent, usd",¿Cuál es el tipo de cambio actual de USD a BRL para liquidaciones internacionales? Urgent....
76,50,"eur, cuál, asap, liquidaciones, cambio, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a EUR para liquidaciones internacionales? ASAP....
77,51,"jpy, internacionales, cuál, liquidaciones, cambio, es, actual, tipo, help, usd",¿Cuál es el tipo de cambio actual de USD a JPY para liquidaciones internacionales? Help....
78,51,"gbp, pls, internacionales, cambio, liquidaciones, actual, tipo, es, cuál, usd",¿Cuál es el tipo de cambio actual de USD a GBP para liquidaciones internacionales? Pls....
79,48,"sgd, internacionales, es, cuál, actual, tipo, liquidaciones, cambio, thanks, usd",¿Cuál es el tipo de cambio actual de USD a SGD para liquidaciones internacionales? Thanks....
80,65,"sgd, liquidaciones, cambio, cuál, es, actual, internacionales, tipo, usd, el",¿Cuál es el tipo de cambio actual de USD a SGD para liquidaciones internacionales?...
81,494,"guidelines, border, payments, cross, compliance, pls, 2992, 3014, 301, 3010",Where can I find the compliance guidelines for cross-border payments? Pls....
82,414,"explain, q3, new, benefits, platinum, express, american, advise, 3011, 3008",Please explain the new American Express platinum benefits for Q3. Please advise....
83,45,"marriott, el, último, informe, advance, ayudarme, obtener, transacciones, comerciante, puedes",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Marriott? Thanks in advance....
84,467,"explique, favor, nuevos, beneficios, trimestre, tercer, platinum, express, los, american","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Urgent...."
85,467,"al, código, riesgo, panel, interno, obtengo, acceder, intentar, error, 403",Obtengo un código de error 403 al intentar acceder al panel de riesgo interno de Amex. ASAP....
86,400,"today, authorizations, time, api, endpoint, real, help, 3006, 3007, 3008",Is the API endpoint for real-time authorizations down today? Help....
87,513,"son, acceso, año, vip, límites, este, sala, cuáles, los, centurion",¿Cuáles son los límites para el acceso a la sala VIP Centurion este año? Thanks....
88,486,"son, este, cuáles, acceso, límites, año, sala, vip, los, centurion",¿Cuáles son los límites para el acceso a la sala VIP Centurion este año?...
89,47,"inr, advise, liquidaciones, cuál, cambio, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a INR para liquidaciones internacionales? Please advise....
90,64,"cad, actual, cuál, liquidaciones, cambio, es, advise, tipo, internacionales, usd",¿Cuál es el tipo de cambio actual de USD a CAD para liquidaciones internacionales? Please advise....
91,71,"cny, advance, es, cuál, actual, tipo, internacionales, liquidaciones, cambio, thanks",¿Cuál es el tipo de cambio actual de USD a CNY para liquidaciones internacionales? Thanks in advance....
92,45,"aud, internacionales, cambio, liquidaciones, actual, tipo, es, cuál, urgent, usd",¿Cuál es el tipo de cambio actual de USD a AUD para liquidaciones internacionales? Urgent....
93,41,"brl, liquidaciones, cuál, asap, cambio, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a BRL para liquidaciones internacionales? ASAP....
94,51,"eur, cuál, cambio, actual, tipo, internacionales, liquidaciones, es, help, usd",¿Cuál es el tipo de cambio actual de USD a EUR para liquidaciones internacionales? Help....
95,49,"jpy, pls, internacionales, es, liquidaciones, actual, tipo, cuál, cambio, usd",¿Cuál es el tipo de cambio actual de USD a JPY para liquidaciones internacionales? Pls....
96,44,"gbp, internacionales, cambio, liquidaciones, actual, tipo, es, cuál, thanks, usd",¿Cuál es el tipo de cambio actual de USD a GBP para liquidaciones internacionales? Thanks....
97,37,"gbp, cuál, liquidaciones, cambio, es, internacionales, actual, tipo, usd, el",¿Cuál es el tipo de cambio actual de USD a GBP para liquidaciones internacionales?...
98,506,"guidelines, payments, border, cross, compliance, 3018, 3019, 3017, 3016, 3015",Where can I find the compliance guidelines for cross-border payments?...
99,432,"guidelines, compliance, payments, cross, border, thanks, 3012, 3008, 3009, 301",Where can I find the compliance guidelines for cross-border payments? Thanks....
100,508,"lounge, year, limits, centurion, access, advise, 3012, 3007, 3008, 3009",What are the limits for Centurion lounge access this year? Please advise....
101,512,"explain, q3, new, benefits, express, platinum, american, advance, thanks, último",Please explain the new American Express platinum benefits for Q3. Thanks in advance....
102,44,"starbucks, el, último, puedes, transacciones, advance, obtener, informe, comerciante, ayudarme",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Starbucks? Thanks in advance....
103,60,"marriott, el, informe, advise, ayudarme, obtener, último, transacciones, puedes, comerciante",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Marriott? Please advise....
104,499,"explique, favor, nuevos, beneficios, trimestre, tercer, express, platinum, american, los","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. ASAP...."
105,466,"al, código, intentar, interno, acceder, obtengo, panel, riesgo, error, 403",Obtengo un código de error 403 al intentar acceder al panel de riesgo interno de Amex. Help....
106,491,"today, authorizations, time, api, real, endpoint, pls, 3007, 3008, 3009",Is the API endpoint for real-time authorizations down today? Pls....
107,47,"inr, advance, es, cuál, actual, tipo, internacionales, liquidaciones, cambio, thanks",¿Cuál es el tipo de cambio actual de USD a INR para liquidaciones internacionales? Thanks in advance....
108,42,"cad, advance, cuál, actual, tipo, es, internacionales, cambio, liquidaciones, thanks",¿Cuál es el tipo de cambio actual de USD a CAD para liquidaciones internacionales? Thanks in advance....
109,44,"cny, internacionales, es, liquidaciones, actual, tipo, cuál, cambio, urgent, usd",¿Cuál es el tipo de cambio actual de USD a CNY para liquidaciones internacionales? Urgent....
110,39,"aud, liquidaciones, cuál, asap, cambio, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a AUD para liquidaciones internacionales? ASAP....
111,59,"brl, cuál, actual, liquidaciones, cambio, es, tipo, internacionales, help, usd",¿Cuál es el tipo de cambio actual de USD a BRL para liquidaciones internacionales? Help....
112,33,"eur, pls, cambio, tipo, cuál, internacionales, actual, es, liquidaciones, usd",¿Cuál es el tipo de cambio actual de USD a EUR para liquidaciones internacionales? Pls....
113,42,"jpy, internacionales, es, liquidaciones, actual, tipo, cuál, cambio, thanks, usd",¿Cuál es el tipo de cambio actual de USD a JPY para liquidaciones internacionales? Thanks....
114,47,"jpy, cuál, liquidaciones, cambio, es, actual, internacionales, tipo, usd, el",¿Cuál es el tipo de cambio actual de USD a JPY para liquidaciones internacionales?...
115,495,"lounge, year, limits, access, centurion, advance, thanks, 3010, 3006, 3007",What are the limits for Centurion lounge access this year? Thanks in advance....
116,455,"explain, q3, new, benefits, platinum, express, american, urgent, 3011, 3007",Please explain the new American Express platinum benefits for Q3. Urgent....
117,49,"microsoft, el, último, informe, advance, ayudarme, obtener, transacciones, comerciante, puedes",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Microsoft? Thanks in advance....
118,48,"starbucks, el, transacciones, comerciante, puedes, obtener, ayudarme, advise, último, informe",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Starbucks? Please advise....
119,46,"marriott, el, puedes, ayudarme, obtener, informe, último, transacciones, comerciante, thanks",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Marriott? Thanks....
120,432,"explique, favor, nuevos, beneficios, trimestre, tercer, platinum, express, los, american","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Help...."
121,446,"al, intentar, riesgo, interno, panel, acceder, obtengo, código, error, 403",Obtengo un código de error 403 al intentar acceder al panel de riesgo interno de Amex. Thanks....
122,469,"today, authorizations, time, real, endpoint, api, thanks, último, 3006, 3007",Is the API endpoint for real-time authorizations down today? Thanks....
123,488,"authorizations, time, today, api, endpoint, real, 3011, 3007, 3008, 3009",Is the API endpoint for real-time authorizations down today?...
124,40,"inr, cuál, liquidaciones, internacionales, cambio, es, tipo, actual, urgent, usd",¿Cuál es el tipo de cambio actual de USD a INR para liquidaciones internacionales? Urgent....
125,37,"cad, internacionales, cambio, liquidaciones, actual, tipo, es, cuál, urgent, usd",¿Cuál es el tipo de cambio actual de USD a CAD para liquidaciones internacionales? Urgent....
126,48,"cny, cuál, liquidaciones, cambio, asap, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a CNY para liquidaciones internacionales? ASAP....
127,48,"aud, cuál, liquidaciones, cambio, es, actual, internacionales, tipo, help, usd",¿Cuál es el tipo de cambio actual de USD a AUD para liquidaciones internacionales? Help....
128,55,"brl, pls, liquidaciones, es, actual, tipo, internacionales, cuál, cambio, usd",¿Cuál es el tipo de cambio actual de USD a BRL para liquidaciones internacionales? Pls....
129,46,"eur, cuál, es, tipo, internacionales, actual, cambio, liquidaciones, thanks, usd",¿Cuál es el tipo de cambio actual de USD a EUR para liquidaciones internacionales? Thanks....
130,51,"eur, liquidaciones, cuál, cambio, es, internacionales, actual, tipo, usd, el",¿Cuál es el tipo de cambio actual de USD a EUR para liquidaciones internacionales?...
131,47,"sgd, international, exchange, advise, current, rate, settlements, usd, 3015, 301",What is the current exchange rate for USD to SGD for international settlements? Please advise....
132,446,"lounge, year, limits, centurion, access, urgent, último, 3011, 3006, 3007",What are the limits for Centurion lounge access this year? Urgent....
133,467,"q3, new, explain, benefits, platinum, american, express, asap, 3015, 3016",Please explain the new American Express platinum benefits for Q3. ASAP....
134,48,"walmart, el, informe, ayudarme, transacciones, advance, obtener, último, comerciante, puedes",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Walmart? Thanks in advance....
135,39,"microsoft, el, último, informe, advise, ayudarme, obtener, transacciones, puedes, comerciante",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Microsoft? Please advise....
136,36,"starbucks, el, informe, comerciante, puedes, obtener, ayudarme, transacciones, último, urgent",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Starbucks? Urgent....
137,34,"marriott, el, puedes, ayudarme, obtener, informe, último, transacciones, comerciante, urgent",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Marriott? Urgent....
138,480,"explique, favor, nuevos, beneficios, trimestre, tercer, platinum, express, los, american","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Pls...."
139,444,"al, riesgo, panel, obtengo, intentar, código, acceder, interno, error, 403",Obtengo un código de error 403 al intentar acceder al panel de riesgo interno de Amex....
140,467,"al, código, riesgo, panel, interno, obtengo, acceder, intentar, error, 403",Obtengo un código de error 403 al intentar acceder al panel de riesgo interno de Amex. Pls....
141,38,"inr, cuál, asap, liquidaciones, cambio, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a INR para liquidaciones internacionales? ASAP....
142,50,"cad, liquidaciones, cuál, asap, cambio, es, actual, internacionales, tipo, usd",¿Cuál es el tipo de cambio actual de USD a CAD para liquidaciones internacionales? ASAP....
143,57,"cny, cuál, es, tipo, actual, internacionales, liquidaciones, cambio, help, usd",¿Cuál es el tipo de cambio actual de USD a CNY para liquidaciones internacionales? Help....
144,47,"aud, pls, liquidaciones, es, actual, tipo, internacionales, cuál, cambio, usd",¿Cuál es el tipo de cambio actual de USD a AUD para liquidaciones internacionales? Pls....
145,52,"brl, cambio, tipo, internacionales, actual, es, cuál, liquidaciones, thanks, usd",¿Cuál es el tipo de cambio actual de USD a BRL para liquidaciones internacionales? Thanks....
146,42,"brl, liquidaciones, cuál, cambio, es, internacionales, actual, tipo, usd, el",¿Cuál es el tipo de cambio actual de USD a BRL para liquidaciones internacionales?...
147,464,"contraseña, restablezco, mi, corporativa, la, amex, advise, cómo, tarjeta, 3009",¿Cómo restablezco la contraseña de mi tarjeta corporativa Amex? Please advise....
148,48,"microsoft, merchant, latest, advance, pull, transaction, report, help, thanks, último",Can you help me pull the latest transaction report for merchant Microsoft? Thanks in advance....
149,40,"gbp, international, exchange, advise, current, rate, settlements, usd, 301, 3005",What is the current exchange rate for USD to GBP for international settlements? Please advise....
150,53,"sgd, international, exchange, advance, current, rate, settlements, thanks, usd, 3014",What is the current exchange rate for USD to SGD for international settlements? Thanks in advance....
151,506,"lounge, year, limits, access, centurion, asap, 3018, 3017, 3006, 3007",What are the limits for Centurion lounge access this year? ASAP....
152,496,"explain, q3, new, benefits, platinum, express, american, help, 3010, 3007",Please explain the new American Express platinum benefits for Q3. Help....
153,46,"amazon, el, transacciones, comerciante, puedes, obtener, ayudarme, advance, último, informe",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Amazon? Thanks in advance....
154,35,"walmart, el, último, informe, advise, ayudarme, obtener, transacciones, puedes, comerciante",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Walmart? Please advise....
155,47,"microsoft, el, último, informe, ayudarme, obtener, transacciones, comerciante, puedes, thanks",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Microsoft? Thanks....
156,49,"starbucks, el, informe, comerciante, puedes, obtener, ayudarme, transacciones, último, thanks",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Starbucks? Thanks....
157,48,"marriott, el, último, comerciante, asap, puedes, informe, obtener, transacciones, ayudarme",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Marriott? ASAP....
158,457,"explique, favor, nuevos, beneficios, trimestre, tercer, platinum, express, los, american","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre. Thanks...."
159,471,"explique, favor, nuevos, beneficios, trimestre, tercer, express, platinum, los, american","Por favor, explique los nuevos beneficios de American Express Platinum para el tercer trimestre...."
160,42,"inr, internacionales, es, cuál, tipo, actual, liquidaciones, cambio, help, usd",¿Cuál es el tipo de cambio actual de USD a INR para liquidaciones internacionales? Help....
161,38,"cad, cambio, tipo, actual, internacionales, es, cuál, liquidaciones, help, usd",¿Cuál es el tipo de cambio actual de USD a CAD para liquidaciones internacionales? Help....
162,53,"cny, pls, es, liquidaciones, actual, tipo, internacionales, cuál, cambio, usd",¿Cuál es el tipo de cambio actual de USD a CNY para liquidaciones internacionales? Pls....
163,53,"aud, cuál, cambio, tipo, internacionales, actual, es, liquidaciones, thanks, usd",¿Cuál es el tipo de cambio actual de USD a AUD para liquidaciones internacionales? Thanks....
164,37,"aud, liquidaciones, cuál, cambio, es, actual, internacionales, tipo, usd, el",¿Cuál es el tipo de cambio actual de USD a AUD para liquidaciones internacionales?...
165,466,"reset, password, corporate, amex, advise, card, último, 3009, 301, 3010",How do I reset the password for my Amex corporate card? Please advise....
166,440,"contraseña, restablezco, corporativa, mi, la, amex, advance, cómo, tarjeta, thanks",¿Cómo restablezco la contraseña de mi tarjeta corporativa Amex? Thanks in advance....
167,35,"starbucks, merchant, latest, report, advance, pull, transaction, help, thanks, último",Can you help me pull the latest transaction report for merchant Starbucks? Thanks in advance....
168,56,"microsoft, merchant, latest, advise, pull, transaction, report, help, último, 3009",Can you help me pull the latest transaction report for merchant Microsoft? Please advise....
169,35,"eur, international, exchange, advise, current, settlements, rate, usd, 3010, 3006",What is the current exchange rate for USD to EUR for international settlements? Please advise....
170,48,"gbp, exchange, advance, current, international, settlements, rate, thanks, usd, 3014",What is the current exchange rate for USD to GBP for international settlements? Thanks in advance....
171,32,"sgd, exchange, current, settlements, rate, international, urgent, usd, 301, 3004",What is the current exchange rate for USD to SGD for international settlements? Urgent....
172,481,"lounge, year, limits, centurion, access, help, 3011, 3006, 3007, 3008",What are the limits for Centurion lounge access this year? Help....
173,482,"explain, q3, new, benefits, platinum, express, american, pls, 3011, 3008",Please explain the new American Express platinum benefits for Q3. Pls....
174,56,"google, el, último, informe, advance, ayudarme, obtener, transacciones, puedes, comerciante",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Google? Thanks in advance....
175,35,"amazon, el, último, informe, advise, ayudarme, obtener, transacciones, puedes, comerciante",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Amazon? Please advise....
176,50,"walmart, el, último, puedes, ayudarme, obtener, informe, transacciones, comerciante, thanks",¿Puedes ayudarme a obtener el último informe de transacciones para el comerciante Walmart? Thanks....
